Epoch,Accuracy,Cost,Val_accuracy,Val_cost
1,0.6482537388801575,0.8520622849464417,0.7599999904632568,0.5220874547958374
2,0.8952245116233826,0.2928564548492431,0.9342857003211976,0.1849969923496246
3,0.9686386585235596,0.1056619510054588,0.9800000190734864,0.0703984349966049
4,0.9896650314331056,0.0505792461335659,0.99571430683136,0.0545010715723037
5,0.992872416973114,0.0355530641973018,0.9828571677207948,0.054648894816637
6,0.9985744953155518,0.0152241811156272,0.99571430683136,0.0260819345712661
7,0.9953670501708984,0.0186862684786319,0.99571430683136,0.0136505328118801
8,1.0,0.0038887250702828,0.9971428513526917,0.0097607402130961
9,1.0,0.0024918511044234,0.9971428513526917,0.0076700965873897
10,1.0,0.0028082823846489,0.9971428513526917,0.0070352279581129
11,1.0,0.0015471742954105,0.9985714554786682,0.0060000652447342
12,1.0,0.0011009485460817,0.9971428513526917,0.0068667763844132
13,1.0,0.0009268952999264,1.0,0.0064365905709564
14,1.0,0.0009894989198073,0.9985714554786682,0.0052761607803404
15,1.0,0.0005485510337166,0.9985714554786682,0.0049299993552267
16,1.0,0.0004485327226575,0.9971428513526917,0.0064135184511542
17,1.0,0.0003537735028658,0.9971428513526917,0.0064624031074345
18,1.0,0.0003105897048953,0.9985714554786682,0.0047984882257878
19,1.0,0.0002686932857614,0.9985714554786682,0.0048172585666179
20,1.0,0.0002389399014646,0.9985714554786682,0.0046451003290712
